Date,LMP,Node
10/18/2016 1:00:00 AM,17.24,.Z.NEMASSBOST
10/18/2016 2:00:00 AM,16.79,.Z.MAINE
10/18/2016 2:00:00 AM,16.86,.Z.NEWHAMPSHIRE
10/18/2016 2:00:00 AM,17.11,.Z.VERMONT
10/18/2016 2:00:00 AM,17.09,.Z.CONNECTICUT
10/18/2016 2:00:00 AM,16.95,.Z.RHODEISLAND
10/18/2016 2:00:00 AM,16.86,.Z.SEMASS
10/18/2016 2:00:00 AM,17.03,.Z.WCMASS
10/18/2016 2:00:00 AM,16.87,.Z.NEMASSBOST
10/18/2016 3:00:00 AM,17.17,.Z.MAINE
10/18/2016 3:00:00 AM,17.23,.Z.NEWHAMPSHIRE
10/18/2016 3:00:00 AM,15.61,.Z.VERMONT
10/18/2016 3:00:00 AM,17.43,.Z.CONNECTICUT
10/18/2016 3:00:00 AM,17.32,.Z.RHODEISLAND
10/18/2016 3:00:00 AM,17.23,.Z.SEMASS
10/18/2016 3:00:00 AM,17.39,.Z.WCMASS
10/18/2016 3:00:00 AM,17.24,.Z.NEMASSBOST
10/18/2016 4:00:00 AM,18.34,.Z.MAINE
10/18/2016 4:00:00 AM,18.37,.Z.NEWHAMPSHIRE
10/18/2016 4:00:00 AM,16.3,.Z.VERMONT
10/18/2016 4:00:00 AM,18.51,.Z.CONNECTICUT
10/18/2016 4:00:00 AM,18.46,.Z.RHODEISLAND
10/18/2016 4:00:00 AM,18.4,.Z.SEMASS
10/18/2016 4:00:00 AM,18.5,.Z.WCMASS
10/18/2016 4:00:00 AM,18.39,.Z.NEMASSBOST
10/18/2016 5:00:00 AM,15.89,.Z.MAINE
10/18/2016 5:00:00 AM,15.79,.Z.NEWHAMPSHIRE
10/18/2016 5:00:00 AM,13.74,.Z.VERMONT
10/18/2016 5:00:00 AM,15.75,.Z.CONNECTICUT
10/18/2016 5:00:00 AM,15.81,.Z.RHODEISLAND
10/18/2016 5:00:00 AM,15.83,.Z.SEMASS
10/18/2016 5:00:00 AM,15.81,.Z.WCMASS
10/18/2016 5:00:00 AM,15.83,.Z.NEMASSBOST
10/18/2016 6:00:00 AM,17.13,.Z.MAINE
10/18/2016 6:00:00 AM,16.8,.Z.NEWHAMPSHIRE
10/18/2016 6:00:00 AM,16.62,.Z.VERMONT
10/18/2016 6:00:00 AM,16.4,.Z.CONNECTICUT
10/18/2016 6:00:00 AM,16.39,.Z.RHODEISLAND
10/18/2016 6:00:00 AM,16.56,.Z.SEMASS
10/18/2016 6:00:00 AM,16.55,.Z.WCMASS
10/18/2016 6:00:00 AM,16.72,.Z.NEMASSBOST
10/18/2016 7:00:00 AM,26.89,.Z.MAINE
10/18/2016 7:00:00 AM,26.51,.Z.NEWHAMPSHIRE
10/18/2016 7:00:00 AM,26.38,.Z.VERMONT
10/18/2016 7:00:00 AM,25.82,.Z.CONNECTICUT
10/18/2016 7:00:00 AM,25.72,.Z.RHODEISLAND
10/18/2016 7:00:00 AM,26.02,.Z.SEMASS
10/18/2016 7:00:00 AM,26.04,.Z.WCMASS
10/18/2016 7:00:00 AM,26.34,.Z.NEMASSBOST
10/18/2016 8:00:00 AM,26.48,.Z.MAINE
10/18/2016 8:00:00 AM,26.35,.Z.NEWHAMPSHIRE
10/18/2016 8:00:00 AM,26.36,.Z.VERMONT
10/18/2016 8:00:00 AM,25.88,.Z.CONNECTICUT
10/18/2016 8:00:00 AM,25.67,.Z.RHODEISLAND
10/18/2016 8:00:00 AM,25.98,.Z.SEMASS
10/18/2016 8:00:00 AM,26.02,.Z.WCMASS
10/18/2016 8:00:00 AM,26.27,.Z.NEMASSBOST
10/18/2016 9:00:00 AM,23,.Z.MAINE
10/18/2016 9:00:00 AM,22.92,.Z.NEWHAMPSHIRE
10/18/2016 9:00:00 AM,22.86,.Z.VERMONT
10/18/2016 9:00:00 AM,22.49,.Z.CONNECTICUT
10/18/2016 9:00:00 AM,22.38,.Z.RHODEISLAND
10/18/2016 9:00:00 AM,22.62,.Z.SEMASS
10/18/2016 9:00:00 AM,22.62,.Z.WCMASS
10/18/2016 9:00:00 AM,22.89,.Z.NEMASSBOST
10/18/2016 10:00:00 AM,39.71,.Z.MAINE
10/18/2016 10:00:00 AM,39.65,.Z.NEWHAMPSHIRE
10/18/2016 10:00:00 AM,39.37,.Z.VERMONT
10/18/2016 10:00:00 AM,38.09,.Z.CONNECTICUT
10/18/2016 10:00:00 AM,38.91,.Z.RHODEISLAND
10/18/2016 10:00:00 AM,39.36,.Z.SEMASS
10/18/2016 10:00:00 AM,39.14,.Z.WCMASS
10/18/2016 10:00:00 AM,39.79,.Z.NEMASSBOST
10/18/2016 11:00:00 AM,42.27,.Z.MAINE
10/18/2016 11:00:00 AM,42.3,.Z.NEWHAMPSHIRE
10/18/2016 11:00:00 AM,42.35,.Z.VERMONT
10/18/2016 11:00:00 AM,41.99,.Z.CONNECTICUT
10/18/2016 11:00:00 AM,41.5,.Z.RHODEISLAND
10/18/2016 11:00:00 AM,41.9,.Z.SEMASS
10/18/2016 11:00:00 AM,41.99,.Z.WCMASS
10/18/2016 11:00:00 AM,42.4,.Z.NEMASSBOST
10/18/2016 12:00:00 PM,28.86,.Z.MAINE
10/18/2016 12:00:00 PM,28.82,.Z.NEWHAMPSHIRE
10/18/2016 12:00:00 PM,28.27,.Z.VERMONT
10/18/2016 12:00:00 PM,26.41,.Z.CONNECTICUT
10/18/2016 12:00:00 PM,28.45,.Z.RHODEISLAND
10/18/2016 12:00:00 PM,28.85,.Z.SEMASS
10/18/2016 12:00:00 PM,28.31,.Z.WCMASS
10/18/2016 12:00:00 PM,29.12,.Z.NEMASSBOST
10/18/2016 1:00:00 PM,24.31,.Z.MAINE
10/18/2016 1:00:00 PM,24.36,.Z.NEWHAMPSHIRE
10/18/2016 1:00:00 PM,24.08,.Z.VERMONT
10/18/2016 1:00:00 PM,23.16,.Z.CONNECTICUT
10/18/2016 1:00:00 PM,24.09,.Z.RHODEISLAND
10/18/2016 1:00:00 PM,24.37,.Z.SEMASS
10/18/2016 1:00:00 PM,24.1,.Z.WCMASS
10/18/2016 1:00:00 PM,24.6,.Z.NEMASSBOST
10/18/2016 2:00:00 PM,21.33,.Z.MAINE
10/18/2016 2:00:00 PM,21.43,.Z.NEWHAMPSHIRE
10/18/2016 2:00:00 PM,21.43,.Z.VERMONT
10/18/2016 2:00:00 PM,21.39,.Z.CONNECTICUT
10/18/2016 2:00:00 PM,21.16,.Z.RHODEISLAND
10/18/2016 2:00:00 PM,21.34,.Z.SEMASS
10/18/2016 2:00:00 PM,21.35,.Z.WCMASS
10/18/2016 2:00:00 PM,21.56,.Z.NEMASSBOST
10/18/2016 3:00:00 PM,22.02,.Z.MAINE
10/18/2016 3:00:00 PM,22.23,.Z.NEWHAMPSHIRE
10/18/2016 3:00:00 PM,22.33,.Z.VERMONT
10/18/2016 3:00:00 PM,22.3,.Z.CONNECTICUT
10/18/2016 3:00:00 PM,22.02,.Z.RHODEISLAND
10/18/2016 3:00:00 PM,22.23,.Z.SEMASS
10/18/2016 3:00:00 PM,22.22,.Z.WCMASS
10/18/2016 3:00:00 PM,22.42,.Z.NEMASSBOST
10/18/2016 4:00:00 PM,21.94,.Z.MAINE
10/18/2016 4:00:00 PM,22.3,.Z.NEWHAMPSHIRE
10/18/2016 4:00:00 PM,22.38,.Z.VERMONT
10/18/2016 4:00:00 PM,22.31,.Z.CONNECTICUT
10/18/2016 4:00:00 PM,22.09,.Z.RHODEISLAND
10/18/2016 4:00:00 PM,22.31,.Z.SEMASS
10/18/2016 4:00:00 PM,22.25,.Z.WCMASS
10/18/2016 4:00:00 PM,22.49,.Z.NEMASSBOST
10/18/2016 5:00:00 PM,27.89,.Z.MAINE
10/18/2016 5:00:00 PM,28.37,.Z.NEWHAMPSHIRE
10/18/2016 5:00:00 PM,28.46,.Z.VERMONT
10/18/2016 5:00:00 PM,28.28,.Z.CONNECTICUT
10/18/2016 5:00:00 PM,28.1,.Z.RHODEISLAND
10/18/2016 5:00:00 PM,28.4,.Z.SEMASS
10/18/2016 5:00:00 PM,28.27,.Z.WCMASS
10/18/2016 5:00:00 PM,28.61,.Z.NEMASSBOST
10/18/2016 6:00:00 PM,42.68,.Z.MAINE
10/18/2016 6:00:00 PM,43.12,.Z.NEWHAMPSHIRE
10/18/2016 6:00:00 PM,43.07,.Z.VERMONT
10/18/2016 6:00:00 PM,42.49,.Z.CONNECTICUT
10/18/2016 6:00:00 PM,42.39,.Z.RHODEISLAND
10/18/2016 6:00:00 PM,43.05,.Z.SEMASS
10/18/2016 6:00:00 PM,43.6,.Z.WCMASS
10/18/2016 6:00:00 PM,98.52,.Z.NEMASSBOST
10/18/2016 7:00:00 PM,31.81,.Z.MAINE
10/18/2016 7:00:00 PM,32.19,.Z.NEWHAMPSHIRE
10/18/2016 7:00:00 PM,30.1,.Z.VERMONT
10/18/2016 7:00:00 PM,32.03,.Z.CONNECTICUT
10/18/2016 7:00:00 PM,31.84,.Z.RHODEISLAND
10/18/2016 7:00:00 PM,32.27,.Z.SEMASS
10/18/2016 7:00:00 PM,32.34,.Z.WCMASS
10/18/2016 7:00:00 PM,48.06,.Z.NEMASSBOST
10/18/2016 8:00:00 PM,31.29,.Z.MAINE
10/18/2016 8:00:00 PM,31.73,.Z.NEWHAMPSHIRE
10/18/2016 8:00:00 PM,29.26,.Z.VERMONT
10/18/2016 8:00:00 PM,31.84,.Z.CONNECTICUT
10/18/2016 8:00:00 PM,31.55,.Z.RHODEISLAND
10/18/2016 8:00:00 PM,31.9,.Z.SEMASS
10/18/2016 8:00:00 PM,31.78,.Z.WCMASS
10/18/2016 8:00:00 PM,32.06,.Z.NEMASSBOST
10/18/2016 9:00:00 PM,26.38,.Z.MAINE
10/18/2016 9:00:00 PM,26.78,.Z.NEWHAMPSHIRE
10/18/2016 9:00:00 PM,24.75,.Z.VERMONT
10/18/2016 9:00:00 PM,27.17,.Z.CONNECTICUT
10/18/2016 9:00:00 PM,26.7,.Z.RHODEISLAND
10/18/2016 9:00:00 PM,26.91,.Z.SEMASS
10/18/2016 9:00:00 PM,27,.Z.WCMASS
10/18/2016 9:00:00 PM,27.04,.Z.NEMASSBOST
10/18/2016 10:00:00 PM,15.91,.Z.MAINE
